Name,Longitude,Latitude
B1,73.8906096,18.4660622
B2,73.826179,18.498391
B3,73.8024563,18.5065927
B4,73.8515392,18.4783181
B5,73.8590245,18.5291703
B6,73.8094622,18.5390577
B7,73.7827778,18.5352778
B8,73.8646487,18.5158349
B9,73.8836263,18.4530801
B10,73.8673704,18.522685
B11,73.8153671,18.4907586
B12,73.9149293,18.5659195
B13,73.8777822,18.5648596
B14,73.8856255,18.533497
B15,73.884393,18.5446855
B16,73.9311821,18.5201846
B17,73.9395879,18.5004347
B18,73.8705049,18.5239477
B19,73.875458,18.5222714
B20,73.8165252,18.4660485
B21,73.7798764,18.522595
B22,73.9290673,18.5572314
B23,73.90009114,18.53933427
B24,73.8401408,18.5142766
B25,73.8482885,18.4927624
B26,73.82512292,18.50623139
B27,73.8581684,18.5075017
B28,73.8595987,18.5006875
B29,73.850092,18.5300524
B30,73.8630305,18.50399323
B31,73.8577343,18.458988
B32,73.9177621,18.5071596
B33,73.8960144,18.5525753
B34,73.8479023,18.5162231
B35,73.80226019,18.48130962
B36,70.51191885,0.000166803
B37,70.51191786,0.000166727
B38,73.88188083,18.44929977
B39,73.8136243,18.5616086
B40,73.924989,18.4752589
B41,73.8641823,18.4672524
B42,73.822497,18.54072
B43,73.8585979,18.4467405
B44,73.8009341,18.4804818
B45,73.8332788,18.5144406
B46,73.8475182,18.5219448
B47,73.8872252,18.4645115
B48,73.8142409,18.473053
B49,73.8682398,18.5109077
B50,73.8789242,18.5340392
B51,73.873285,18.537371
B52,73.8287244,18.5427018
B53,73.8720847,18.5106336
B54,73.9276151,18.5343871
B55,73.8807204,18.5136943
B56,73.8487609,18.5114354
B57,73.8446065,18.5051906
B58,73.8258359,18.5465749
B59,73.8559879,18.520495
B60,73.8243712,18.4568042
B61,73.869658,18.5202459
